nohup: ignoring input
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] 
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] *****************************************
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0210 09:53:45.605000 574519 site-packages/torch/distributed/run.py:793] *****************************************

🚀 启动训练: Fold 4 | GPUs: 7 | Model: ST-SAM (Sam2-Hiera-L + NewStripDetailAdapter)

Epoch 1/50:   0%|          | 0/50 [00:00<?, ?it/s]
Epoch 1/50:   0%|          | 0/50 [00:13<?, ?it/s, loss=0.479]
Epoch 1/50:   2%|▏         | 1/50 [00:13<10:45, 13.18s/it, loss=0.479]
Epoch 1/50:   2%|▏         | 1/50 [00:16<10:45, 13.18s/it, loss=0.391]
Epoch 1/50:   4%|▍         | 2/50 [00:16<05:42,  7.14s/it, loss=0.391]
Epoch 1/50:   4%|▍         | 2/50 [00:19<05:42,  7.14s/it, loss=0.381]
Epoch 1/50:  54%|█████▍    | 27/50 [01:31<01:07,  2.94s/it, loss=0.139]
Epoch 1/50:  56%|█████▌    | 28/50 [01:31<01:04,  2.95s/it, loss=0.139]
Epoch 1/50:  56%|█████▌    | 28/50 [01:34<01:04,  2.95s/it, loss=0.156]
Epoch 1/50:  58%|█████▊    | 29/50 [01:34<01:01,  2.94s/it, loss=0.156]
Epoch 1/50:  58%|█████▊    | 29/50 [01:37<01:01,  2.94s/it, loss=0.167]
Epoch 1/50:  60%|██████    | 30/50 [01:37<00:58,  2.95s/it, loss=0.167]
Epoch 1/50:  60%|██████    | 30/50 [01:40<00:58,  2.95s/it, loss=0.117]
Epoch 1/50:  62%|██████▏   | 31/50 [01:40<00:56,  2.97s/it, loss=0.117]
Epoch 1/50:  62%|██████▏   | 31/50 [01:43<00:56,  2.97s/it, loss=0.15] 
Epoch 1/50:  64%|██████▍   | 32/50 [01:43<00:53,  2.97s/it, loss=0.15]
Epoch 1/50:  64%|██████▍   | 32/50 [01:46<00:53,  2.97s/it, loss=0.16]
Epoch 1/50:  66%|██████▌   | 33/50 [01:46<00:50,  2.95s/it, loss=0.16]
Epoch 1/50:  66%|██████▌   | 33/50 [01:49<00:50,  2.95s/it, loss=0.144]
Epoch 1/50:  68%|██████▊   | 34/50 [01:49<00:47,  2.94s/it, loss=0.144]
Epoch 1/50:  68%|██████▊   | 34/50 [01:52<00:47,  2.94s/it, loss=0.163]
Epoch 1/50:  70%|███████   | 35/50 [01:52<00:43,  2.87s/it, loss=0.163]
Epoch 1/50:  70%|███████   | 35/50 [01:54<00:43,  2.87s/it, loss=0.138]
Epoch 1/50:  72%|███████▏  | 36/50 [01:54<00:40,  2.87s/it, loss=0.138]
Epoch 1/50:  72%|███████▏  | 36/50 [01:57<00:40,  2.87s/it, loss=0.14] 
Epoch 1/50:  74%|███████▍  | 37/50 [01:57<00:37,  2.86s/it, loss=0.14]
Epoch 1/50:  74%|███████▍  | 37/50 [02:00<00:37,  2.86s/it, loss=0.125]
Epoch 1/50:  76%|███████▌  | 38/50 [02:00<00:34,  2.85s/it, loss=0.125]
Epoch 1/50:  76%|███████▌  | 38/50 [02:03<00:34,  2.85s/it, loss=0.109]
Epoch 1/50:  78%|███████▊  | 39/50 [02:03<00:31,  2.85s/it, loss=0.109]
Epoch 1/50:  78%|███████▊  | 39/50 [02:06<00:31,  2.85s/it, loss=0.126]
Epoch 1/50:  80%|████████  | 40/50 [02:06<00:28,  2.84s/it, loss=0.126]
Epoch 1/50:  80%|████████  | 40/50 [02:08<00:28,  2.84s/it, loss=0.142]
Epoch 1/50:  82%|████████▏ | 41/50 [02:08<00:25,  2.80s/it, loss=0.142]
Epoch 1/50:  82%|████████▏ | 41/50 [02:11<00:25,  2.80s/it, loss=0.109]
Epoch 1/50:  84%|████████▍ | 42/50 [02:11<00:22,  2.81s/it, loss=0.109]
Epoch 1/50:  84%|████████▍ | 42/50 [02:14<00:22,  2.81s/it, loss=0.12] 
Epoch 1/50:  86%|████████▌ | 43/50 [02:14<00:20,  2.88s/it, loss=0.12]
Epoch 1/50:  86%|████████▌ | 43/50 [02:17<00:20,  2.88s/it, loss=0.0946]
Epoch 1/50:  88%|████████▊ | 44/50 [02:17<00:17,  2.90s/it, loss=0.0946]
Epoch 1/50:  88%|████████▊ | 44/50 [02:20<00:17,  2.90s/it, loss=0.107] 
Epoch 1/50:  90%|█████████ | 45/50 [02:20<00:14,  2.89s/it, loss=0.107]
Epoch 1/50:  90%|█████████ | 45/50 [02:23<00:14,  2.89s/it, loss=0.0946]
Epoch 1/50:  92%|█████████▏| 46/50 [02:23<00:11,  2.81s/it, loss=0.0946]
Epoch 1/50:  92%|█████████▏| 46/50 [02:25<00:11,  2.81s/it, loss=0.107] 
Epoch 1/50:  94%|█████████▍| 47/50 [02:25<00:08,  2.77s/it, loss=0.107]
Epoch 1/50:  94%|█████████▍| 47/50 [02:28<00:08,  2.77s/it, loss=0.0896]
Epoch 1/50:  96%|█████████▌| 48/50 [02:28<00:05,  2.77s/it, loss=0.0896]
Epoch 1/50:  96%|█████████▌| 48/50 [02:31<00:05,  2.77s/it, loss=0.096] 
Epoch 1/50:  98%|█████████▊| 49/50 [02:31<00:02,  2.78s/it, loss=0.096]
Epoch 1/50:  98%|█████████▊| 49/50 [02:33<00:02,  2.78s/it, loss=0.101]
Epoch 1/50: 100%|██████████| 50/50 [02:33<00:00,  2.66s/it, loss=0.101]
Epoch 1/50: 100%|██████████| 50/50 [02:33<00:00,  3.08s/it, loss=0.101]
Epoch 1 | Train Loss: 0.1702 | Val Dice: 0.8126
🔥 New Best Dice: 0.8126 (Epoch 1) -> Saved!

Epoch 2/50:   0%|          | 0/50 [00:00<?, ?it/s]
Epoch 2/50:   0%|          | 0/50 [00:03<?, ?it/s, loss=0.0931]
Epoch 2/50:   2%|▏         | 1/50 [00:03<03:15,  3.99s/it, loss=0.0931]
Epoch 2/50:   2%|▏         | 1/50 [00:06<03:15,  3.99s/it, loss=0.118] 
Epoch 2/50:   4%|▍         | 2/50 [00:06<02:42,  3.38s/it, loss=0.118]
Epoch 2/50:   4%|▍         | 2/50 [00:09<02:42,  3.38s/it, loss=0.0932]
Epoch 2/50:   6%|▌         | 3/50 [00:09<02:28,  3.17s/it, loss=0.0932]
Epoch 2/50:   6%|▌         | 3/50 [00:12<02:28,  3.17s/it, loss=0.0836]
Epoch 2/50:   8%|▊         | 4/50 [00:12<02:21,  3.07s/it, loss=0.0836]
Epoch 2/50:   8%|▊         | 4/50 [00:15<02:21,  3.07s/it, loss=0.107] 
Epoch 2/50:  10%|█         | 5/50 [00:15<02:17,  3.05s/it, loss=0.107]
Epoch 2/50:  10%|█         | 5/50 [00:18<02:17,  3.05s/it, loss=0.101]
Epoch 2/50:  12%|█▏        | 6/50 [00:18<02:11,  2.98s/it, loss=0.101]
Epoch 2/50:  12%|█▏        | 6/50 [00:21<02:11,  2.98s/it, loss=0.0897]
Epoch 2/50:  14%|█▍        | 7/50 [00:21<02:07,  2.97s/it, loss=0.0897]
Epoch 2/50:  14%|█▍        | 7/50 [00:24<02:07,  2.97s/it, loss=0.0676]
Epoch 2/50:  16%|█▌        | 8/50 [00:24<02:04,  2.97s/it, loss=0.0676]
Epoch 2/50:  16%|█▌        | 8/50 [00:27<02:04,  2.97s/it, loss=0.0969]
Epoch 2/50:  18%|█▊        | 9/50 [00:27<02:02,  3.00s/it, loss=0.0969]
Epoch 2/50:  18%|█▊        | 9/50 [00:30<02:02,  3.00s/it, loss=0.0862]
Epoch 2/50:  20%|██        | 10/50 [00:30<01:59,  2.99s/it, loss=0.0862]
Epoch 2/50:  20%|██        | 10/50 [00:33<01:59,  2.99s/it, loss=0.0906]
Epoch 2/50:  22%|██▏       | 11/50 [00:33<01:57,  3.00s/it, loss=0.0906]
Epoch 2/50:  22%|██▏       | 11/50 [00:36<01:57,  3.00s/it, loss=0.076] 
Epoch 2/50:  24%|██▍       | 12/50 [00:36<01:53,  2.98s/it, loss=0.076]
Epoch 2/50:  24%|██▍       | 12/50 [00:39<01:53,  2.98s/it, loss=0.0933]
Epoch 2/50:  26%|██▌       | 13/50 [00:39<01:49,  2.97s/it, loss=0.0933]
Epoch 2/50:  26%|██▌       | 13/50 [00:42<01:49,  2.97s/it, loss=0.126] 
Epoch 2/50:  28%|██▊       | 14/50 [00:42<01:47,  2.98s/it, loss=0.126]
Epoch 2/50:  28%|██▊       | 14/50 [00:45<01:47,  2.98s/it, loss=0.0837]
Epoch 2/50:  30%|███       | 15/50 [00:45<01:43,  2.96s/it, loss=0.0837]
Epoch 2/50:  30%|███       | 15/50 [00:48<01:43,  2.96s/it, loss=0.0973]
Epoch 2/50:  32%|███▏      | 16/50 [00:48<01:40,  2.95s/it, loss=0.0973]
Epoch 2/50:  32%|███▏      | 16/50 [00:51<01:40,  2.95s/it, loss=0.0932]
Epoch 2/50:  34%|███▍      | 17/50 [00:51<01:37,  2.95s/it, loss=0.0932]
Epoch 2/50:  34%|███▍      | 17/50 [00:54<01:37,  2.95s/it, loss=0.0831]
Epoch 2/50:  36%|███▌      | 18/50 [00:54<01:33,  2.94s/it, loss=0.0831]
Epoch 2/50:  36%|███▌      | 18/50 [00:56<01:33,  2.94s/it, loss=0.0954]
Epoch 2/50:  38%|███▊      | 19/50 [00:56<01:29,  2.90s/it, loss=0.0954]
Epoch 2/50:  38%|███▊      | 19/50 [00:59<01:29,  2.90s/it, loss=0.0842]
Epoch 2/50:  40%|████      | 20/50 [00:59<01:25,  2.84s/it, loss=0.0842]
Epoch 2/50:  40%|████      | 20/50 [01:02<01:25,  2.84s/it, loss=0.0799]
Epoch 2/50:  42%|████▏     | 21/50 [01:02<01:22,  2.83s/it, loss=0.0799]
Epoch 2/50:  42%|████▏     | 21/50 [01:05<01:22,  2.83s/it, loss=0.109] 
Epoch 2/50:  44%|████▍     | 22/50 [01:05<01:20,  2.86s/it, loss=0.109]
Epoch 2/50:  44%|████▍     | 22/50 [01:08<01:20,  2.86s/it, loss=0.074]
Epoch 2/50:  46%|████▌     | 23/50 [01:08<01:18,  2.89s/it, loss=0.074]
Epoch 2/50:  46%|████▌     | 23/50 [01:11<01:18,  2.89s/it, loss=0.0945]
Epoch 2/50:  48%|████▊     | 24/50 [01:11<01:15,  2.90s/it, loss=0.0945]
Epoch 2/50:  48%|████▊     | 24/50 [01:14<01:15,  2.90s/it, loss=0.0719]
Epoch 2/50:  50%|█████     | 25/50 [01:14<01:13,  2.93s/it, loss=0.0719]
Epoch 2/50:  50%|█████     | 25/50 [01:17<01:13,  2.93s/it, loss=0.0857]
Epoch 2/50:  52%|█████▏    | 26/50 [01:17<01:11,  2.96s/it, loss=0.0857]
Epoch 2/50:  52%|█████▏    | 26/50 [01:20<01:11,  2.96s/it, loss=0.0797]
Epoch 2/50:  54%|█████▍    | 27/50 [01:20<01:07,  2.96s/it, loss=0.0797]
Epoch 2/50:  54%|█████▍    | 27/50 [01:23<01:07,  2.96s/it, loss=0.086] 
Epoch 2/50:  56%|█████▌    | 28/50 [01:23<01:04,  2.95s/it, loss=0.086]
Epoch 2/50:  56%|█████▌    | 28/50 [01:26<01:04,  2.95s/it, loss=0.0938]
Epoch 2/50:  58%|█████▊    | 29/50 [01:26<01:01,  2.95s/it, loss=0.0938]
Epoch 2/50:  58%|█████▊    | 29/50 [01:29<01:01,  2.95s/it, loss=0.0842]
Epoch 2/50:  60%|██████    | 30/50 [01:29<00:59,  2.97s/it, loss=0.0842]
Epoch 2/50:  60%|██████    | 30/50 [01:32<00:59,  2.97s/it, loss=0.0892]
Epoch 2/50:  62%|██████▏   | 31/50 [01:32<00:56,  2.97s/it, loss=0.0892]
Epoch 2/50:  62%|██████▏   | 31/50 [01:35<00:56,  2.97s/it, loss=0.0697]
Epoch 2/50:  64%|██████▍   | 32/50 [01:35<00:53,  2.97s/it, loss=0.0697]
Epoch 2/50:  64%|██████▍   | 32/50 [01:38<00:53,  2.97s/it, loss=0.0664]
Epoch 2/50:  66%|██████▌   | 33/50 [01:38<00:50,  2.96s/it, loss=0.0664]
Epoch 2/50:  66%|██████▌   | 33/50 [01:40<00:50,  2.96s/it, loss=0.0664]
Epoch 2/50:  68%|██████▊   | 34/50 [01:40<00:46,  2.88s/it, loss=0.0664]
Epoch 2/50:  68%|██████▊   | 34/50 [01:43<00:46,  2.88s/it, loss=0.0766]
Epoch 2/50:  70%|███████   | 35/50 [01:43<00:43,  2.89s/it, loss=0.0766]
Epoch 2/50:  70%|███████   | 35/50 [01:46<00:43,  2.89s/it, loss=0.068] 
Epoch 2/50:  72%|███████▏  | 36/50 [01:46<00:40,  2.90s/it, loss=0.068]
Epoch 2/50:  72%|███████▏  | 36/50 [01:49<00:40,  2.90s/it, loss=0.0734]
Epoch 2/50:  74%|███████▍  | 37/50 [01:49<00:37,  2.91s/it, loss=0.0734]
Epoch 2/50:  74%|███████▍  | 37/50 [01:52<00:37,  2.91s/it, loss=0.0952]
Epoch 2/50:  76%|███████▌  | 38/50 [01:52<00:34,  2.91s/it, loss=0.0952]
Epoch 2/50:  76%|███████▌  | 38/50 [01:55<00:34,  2.91s/it, loss=0.0659]
Epoch 2/50:  78%|███████▊  | 39/50 [01:55<00:32,  2.91s/it, loss=0.0659]
Epoch 2/50:  78%|███████▊  | 39/50 [01:58<00:32,  2.91s/it, loss=0.0651]
Epoch 2/50:  80%|████████  | 40/50 [01:58<00:29,  2.91s/it, loss=0.0651]
Epoch 2/50:  80%|████████  | 40/50 [02:01<00:29,  2.91s/it, loss=0.0726]
Epoch 2/50:  82%|████████▏ | 41/50 [02:01<00:25,  2.88s/it, loss=0.0726]
Epoch 2/50:  82%|████████▏ | 41/50 [02:03<00:25,  2.88s/it, loss=0.105] 
Epoch 2/50:  84%|████████▍ | 42/50 [02:03<00:22,  2.85s/it, loss=0.105]
Epoch 2/50:  84%|████████▍ | 42/50 [02:06<00:22,  2.85s/it, loss=0.0807]
Epoch 2/50:  86%|████████▌ | 43/50 [02:06<00:20,  2.88s/it, loss=0.0807]
Epoch 2/50:  86%|████████▌ | 43/50 [02:09<00:20,  2.88s/it, loss=0.08]  
Epoch 2/50:  88%|████████▊ | 44/50 [02:09<00:17,  2.91s/it, loss=0.08]
Epoch 2/50:  88%|████████▊ | 44/50 [02:12<00:17,  2.91s/it, loss=0.0684]
Epoch 2/50:  90%|█████████ | 45/50 [02:12<00:14,  2.92s/it, loss=0.0684]
Epoch 2/50:  90%|█████████ | 45/50 [02:15<00:14,  2.92s/it, loss=0.0545]
Epoch 2/50:  92%|█████████▏| 46/50 [02:15<00:11,  2.80s/it, loss=0.0545]
Epoch 2/50:  92%|█████████▏| 46/50 [02:17<00:11,  2.80s/it, loss=0.0815]
Epoch 2/50:  94%|█████████▍| 47/50 [02:17<00:08,  2.72s/it, loss=0.0815]
Epoch 2/50:  94%|█████████▍| 47/50 [02:20<00:08,  2.72s/it, loss=0.0855]
Epoch 2/50:  96%|█████████▌| 48/50 [02:20<00:05,  2.82s/it, loss=0.0855]
Epoch 2/50:  96%|█████████▌| 48/50 [02:23<00:05,  2.82s/it, loss=0.0759]
Epoch 2/50:  98%|█████████▊| 49/50 [02:23<00:02,  2.87s/it, loss=0.0759]
Epoch 2/50:  98%|█████████▊| 49/50 [02:25<00:02,  2.87s/it, loss=0.0777]
Epoch 2/50: 100%|██████████| 50/50 [02:25<00:00,  2.63s/it, loss=0.0777]
Epoch 2/50: 100%|██████████| 50/50 [02:26<00:00,  2.92s/it, loss=0.0777]
Epoch 2 | Train Loss: 0.0835 | Val Dice: 0.8518
🔥 New Best Dice: 0.8518 (Epoch 2) -> Saved!

Epoch 3/50:   0%|          | 0/50 [00:00<?, ?it/s]
Epoch 3/50:   0%|          | 0/50 [00:03<?, ?it/s, loss=0.0743]
Epoch 3/50:   2%|▏         | 1/50 [00:03<03:00,  3.69s/it, loss=0.0743]
Epoch 3/50:   2%|▏         | 1/50 [00:06<03:00,  3.69s/it, loss=0.0789]
Epoch 3/50:   4%|▍         | 2/50 [00:06<02:34,  3.22s/it, loss=0.0789]
Epoch 3/50:   4%|▍         | 2/50 [00:09<02:34,  3.22s/it, loss=0.0634]
Epoch 3/50:   6%|▌         | 3/50 [00:09<02:25,  3.10s/it, loss=0.0634]
Epoch 3/50:   6%|▌         | 3/50 [00:12<02:25,  3.10s/it, loss=0.0644]
Epoch 3/50:   8%|▊         | 4/50 [00:12<02:17,  3.00s/it, loss=0.0644]
Epoch 3/50:   8%|▊         | 4/50 [00:15<02:17,  3.00s/it, loss=0.0835]
Epoch 3/50:  10%|█         | 5/50 [00:15<02:13,  2.96s/it, loss=0.0835]
Epoch 3/50:  10%|█         | 5/50 [00:18<02:13,  2.96s/it, loss=0.0741]
Epoch 3/50:  12%|█▏        | 6/50 [00:18<02:08,  2.92s/it, loss=0.0741]
Epoch 3/50:  12%|█▏        | 6/50 [00:21<02:08,  2.92s/it, loss=0.102] 
Epoch 3/50:  14%|█▍        | 7/50 [00:21<02:05,  2.92s/it, loss=0.102]
Epoch 3/50:  14%|█▍        | 7/50 [00:23<02:05,  2.92s/it, loss=0.0845]
Epoch 3/50:  16%|█▌        | 8/50 [00:23<02:02,  2.93s/it, loss=0.0845]
Epoch 3/50:  16%|█▌        | 8/50 [00:26<02:02,  2.93s/it, loss=0.0782]
Epoch 3/50:  18%|█▊        | 9/50 [00:26<01:59,  2.92s/it, loss=0.0782]
Epoch 3/50:  18%|█▊        | 9/50 [00:29<01:59,  2.92s/it, loss=0.0863]
Epoch 3/50:  20%|██        | 10/50 [00:29<01:55,  2.90s/it, loss=0.0863]
Epoch 3/50:  20%|██        | 10/50 [00:32<01:55,  2.90s/it, loss=0.0653]
Epoch 3/50:  22%|██▏       | 11/50 [00:32<01:51,  2.87s/it, loss=0.0653]
Epoch 3/50:  22%|██▏       | 11/50 [00:35<01:51,  2.87s/it, loss=0.0857]
Epoch 3/50:  24%|██▍       | 12/50 [00:35<01:48,  2.86s/it, loss=0.0857]
Epoch 3/50:  24%|██▍       | 12/50 [00:38<01:48,  2.86s/it, loss=0.0651]
Epoch 3/50:  26%|██▌       | 13/50 [00:38<01:46,  2.87s/it, loss=0.0651]
Epoch 3/50:  26%|██▌       | 13/50 [00:41<01:46,  2.87s/it, loss=0.0794]
Epoch 3/50:  28%|██▊       | 14/50 [00:41<01:43,  2.89s/it, loss=0.0794]
Epoch 3/50:  28%|██▊       | 14/50 [00:44<01:43,  2.89s/it, loss=0.0664]
Epoch 3/50:  30%|███       | 15/50 [00:44<01:40,  2.86s/it, loss=0.0664]
Epoch 3/50:  30%|███       | 15/50 [00:46<01:40,  2.86s/it, loss=0.0778]
Epoch 3/50:  32%|███▏      | 16/50 [00:46<01:37,  2.88s/it, loss=0.0778]
Epoch 3/50:  32%|███▏      | 16/50 [00:49<01:37,  2.88s/it, loss=0.0746]
Epoch 3/50:  34%|███▍      | 17/50 [00:49<01:35,  2.89s/it, loss=0.0746]
Epoch 3/50:  34%|███▍      | 17/50 [00:52<01:35,  2.89s/it, loss=0.095] 
Epoch 3/50:  36%|███▌      | 18/50 [00:52<01:32,  2.90s/it, loss=0.095]
Epoch 3/50:  36%|███▌      | 18/50 [00:55<01:32,  2.90s/it, loss=0.0781]
Epoch 3/50:  38%|███▊      | 19/50 [00:55<01:28,  2.87s/it, loss=0.0781]
Epoch 3/50:  38%|███▊      | 19/50 [00:58<01:28,  2.87s/it, loss=0.0602]
Epoch 3/50:  40%|████      | 20/50 [00:58<01:25,  2.84s/it, loss=0.0602]
Epoch 3/50:  40%|████      | 20/50 [01:01<01:25,  2.84s/it, loss=0.0763]
Epoch 3/50:  42%|████▏     | 21/50 [01:01<01:23,  2.87s/it, loss=0.0763]
Epoch 3/50:  42%|████▏     | 21/50 [01:04<01:23,  2.87s/it, loss=0.0858]
Epoch 3/50:  44%|████▍     | 22/50 [01:04<01:21,  2.90s/it, loss=0.0858]
Epoch 3/50:  44%|████▍     | 22/50 [01:07<01:21,  2.90s/it, loss=0.0693]
Epoch 3/50:  46%|████▌     | 23/50 [01:07<01:18,  2.92s/it, loss=0.0693]
Epoch 3/50:  46%|████▌     | 23/50 [01:10<01:18,  2.92s/it, loss=0.0874]
Epoch 3/50:  48%|████▊     | 24/50 [01:10<01:17,  2.96s/it, loss=0.0874]
Epoch 3/50:  48%|████▊     | 24/50 [01:13<01:17,  2.96s/it, loss=0.0594]
Epoch 3/50:  50%|█████     | 25/50 [01:13<01:14,  2.98s/it, loss=0.0594]
Epoch 3/50:  50%|█████     | 25/50 [01:16<01:14,  2.98s/it, loss=0.0731]
Epoch 3/50:  52%|█████▏    | 26/50 [01:16<01:11,  2.98s/it, loss=0.0731]
Epoch 3/50:  52%|█████▏    | 26/50 [01:19<01:11,  2.98s/it, loss=0.104] 
Epoch 3/50:  54%|█████▍    | 27/50 [01:19<01:08,  3.00s/it, loss=0.104]
Epoch 3/50:  54%|█████▍    | 27/50 [01:22<01:08,  3.00s/it, loss=0.0631]
Epoch 3/50:  56%|█████▌    | 28/50 [01:22<01:05,  2.98s/it, loss=0.0631]
Epoch 3/50:  56%|█████▌    | 28/50 [01:25<01:05,  2.98s/it, loss=0.0636]
Epoch 3/50:  58%|█████▊    | 29/50 [01:25<01:02,  2.99s/it, loss=0.0636]
Epoch 3/50:  58%|█████▊    | 29/50 [01:28<01:02,  2.99s/it, loss=0.0734]
Epoch 3/50:  60%|██████    | 30/50 [01:28<01:00,  3.01s/it, loss=0.0734]
Epoch 3/50:  60%|██████    | 30/50 [01:31<01:00,  3.01s/it, loss=0.0624]
Epoch 3/50:  62%|██████▏   | 31/50 [01:31<00:56,  2.98s/it, loss=0.0624]
Epoch 3/50:  62%|██████▏   | 31/50 [01:34<00:56,  2.98s/it, loss=0.0775]
Epoch 3/50:  64%|██████▍   | 32/50 [01:34<00:52,  2.93s/it, loss=0.0775]
Epoch 3/50:  64%|██████▍   | 32/50 [01:37<00:52,  2.93s/it, loss=0.0671]
